Metin,Normal Metin,Niyet,Kaynak,Bölüm
beni bir spagetti pişirme videosuna götür,beni bir spagetti pisirme videosuna gotur,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
sen istediğim her eseri getirebilir mi gerçekten,sen istedigim her eseri getirebilir mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitap hakkında ayrıntılı anlat mümkünse,bu kitap hakkinda ayrintili anlat mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitapta başkahraman kim söyler misin,bu kitapta baskahraman kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
bugün keyfin nasıl KitapPusula,bugun keyfin nasil kitappusula,NASILSIN,KitapPusula-V6,eğitim
sence yazar bunu neden yazmış olabilir yorumlar mısın,sence yazar bunu neden yazmis olabilir yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bazen biraz sohbet etmek istiyorum aslında,bazen biraz sohbet etmek istiyorum aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
sen istediğim her eseri getirebilir mi,sen istedigim her eseri getirebilir mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
o zaman şimdilik bu kadar KitapPusula,o zaman simdilik bu kadar kitappusula,VEDA,KitapPusula-Final-özel,eğitim
çok sağ ol KitapPusula,cok sag ol kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
hafta sonu için hava durumu tahmini nedir,hafta sonu icin hava durumu tahmini nedir,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
lütfen bana saati söyler misin,lutfen bana saati soyler misin,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
acaba nerede yaşıyorsun lütfen,acaba nerede yasiyorsun lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
kitap açıklamasından tür tahmin et başlat,kitap aciklamasindan tur tahmin et baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
kaç kitabı arayabiliyorsun söyler misin,kac kitabi arayabiliyorsun soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
sonra konuşuruz sonra,sonra konusuruz sonra,VEDA,KitapPusula-Final-özel,eğitim
bana Java kodu yaz,bana java kodu yaz,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu eserin yazarının adı ne hatırlatır mısın,bu eserin yazarinin adi ne hatirlatir misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
bu kitabın müellifi kim,bu kitabin muellifi kim,YAZAR_SORUSU,KitapPusula-V6,eğitim
fiziksel olarak neredesin lütfen,fiziksel olarak neredesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
şu anda nerede yaşıyorsun,su anda nerede yasiyorsun,BOT_KONUM,KitapPusula-Final-özel,eğitim
senin kimliğin ne,senin kimligin ne,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu eser kaç sayfalık söyler misin,bu eser kac sayfalik soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
kitap havuzu ne kadar büyük,kitap havuzu ne kadar buyuk,KITAP_SAYISI,KitapPusula-V6,eğitim
bu sistem veri setinde olmayan kitabı bulabilir mi,bu sistem veri setinde olmayan kitabi bulabilir mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu eserle ilgili daha fazla detay ver,bu eserle ilgili daha fazla detay ver,DETAY_SORUSU,KitapPusula-V6,eğitim
yaratıcın kim lütfen,yaraticin kim lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
nasıl gidiyor söyler misin,nasil gidiyor soyler misin,NASILSIN,KitapPusula-V6,eğitim
bana saatin kaç olduğunu söyleyebilir misin,bana saatin kac oldugunu soyleyebilir misin,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu eserle ilgili detaylandır lütfen,bu eserle ilgili detaylandir lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitap konusu ne lütfen,bu kitap konusu ne lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
Momo,momo,KITAP_ARAMA,KitapPusula-V6,eğitim
bu eser ne kadar uzun,bu eser ne kadar uzun,SAYFA_SORUSU,KitapPusula-V6,eğitim
bu kitap kısa özetini ver anlatır mısın,bu kitap kisa ozetini ver anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
bu eserle ilgili daha derin bilgi ver mümkünse,bu eserle ilgili daha derin bilgi ver mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
sence kitap kimlere uygun yorumlar mısın,sence kitap kimlere uygun yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bu eserin kimin eseri,bu eserin kimin eseri,YAZAR_SORUSU,KitapPusula-V6,eğitim
Çalıkuşu,calikusu,KITAP_ARAMA,KitapPusula-V6,eğitim
bu kitap hakkında başka neler biliyorsun mümkünse,bu kitap hakkinda baska neler biliyorsun mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
söyler misin yaşın kaç,soyler misin yasin kac,BOT_YAS,KitapPusula-Final-özel,eğitim
bu sistem istediğim her eseri getirebilir mi gerçekten,bu sistem istedigim her eseri getirebilir mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
Bilinmeyen Bir Kadının Mektubu,bilinmeyen bir kadinin mektubu,KITAP_ARAMA,KitapPusula-V6,eğitim
model hangi türleri biliyor söyler misin,model hangi turleri biliyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
sınıflandırıcı hangi türleri biliyor söyler misin,siniflandirici hangi turleri biliyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bana otel öner,bana otel oner,ALAN_DISI,KitapPusula-Final-özel,eğitim
bana en güncel teknoloji haberlerini getir,bana en guncel teknoloji haberlerini getir,HABER_SORUSU,MASSIVE-tr-TR,eğitim
sence eserin duygusu nasıl,sence eserin duygusu nasil,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
modelle bilinmeyen kitabın türünü belirle,modelle bilinmeyen kitabin turunu belirle,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
gerçekten çok yardımcı oldun,gercekten cok yardimci oldun,TESEKKUR,KitapPusula-Final-özel,eğitim
şimdilik bu kadar sonra,simdilik bu kadar sonra,VEDA,KitapPusula-Final-özel,eğitim
bugün keyfin nasıl bakalım,bugun keyfin nasil bakalim,NASILSIN,KitapPusula-V6,eğitim
hangi sınıflar var,hangi siniflar var,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu eser kısaca özetle anlatır mısın,bu eser kisaca ozetle anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
acaba doğum tarihin ne,acaba dogum tarihin ne,BOT_YAS,KitapPusula-Final-özel,eğitim
iyi misin,iyi misin,NASILSIN,KitapPusula-V6,eğitim
acaba doğum günün ne zaman lütfen,acaba dogum gunun ne zaman lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
bu kitap içeriğinden bahset,bu kitap iceriginden bahset,OZET_SORUSU,KitapPusula-V6,eğitim
sütten ekşi süt nasıl yapılır,sutten eksi sut nasil yapilir,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu kitabın müellifi kim söyler misin,bu kitabin muellifi kim soyler misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
kısaca hangi sistemsin lütfen,kisaca hangi sistemsin lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu sistem her kitabı bulabiliyor musun şu anda,bu sistem her kitabi bulabiliyor musun su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bana kitaplarla ilgili şaka anlat olur mu,bana kitaplarla ilgili saka anlat olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
sen her kitabı bulabiliyor musun gerçekten,sen her kitabi bulabiliyor musun gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitap kalın mı söyler misin,bu kitap kalin mi soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
az önce hangi kitaptan söz ettik hatırlatır mısın,az once hangi kitaptan soz ettik hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
modelle bilinmeyen kitabın türünü belirle başlat,modelle bilinmeyen kitabin turunu belirle baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
Hayvan Çiftliği,hayvan ciftligi,KITAP_ARAMA,KitapPusula-V6,eğitim
metinden kitap türü çıkar başlat,metinden kitap turu cikar baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
bugün biraz muhabbet edelim aslında,bugun biraz muhabbet edelim aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
lütfen bilgileri baştan yaz,lutfen bilgileri bastan yaz,TEKRAR_GOSTER,KitapPusula-V6,eğitim
nerede yaşıyorsun,nerede yasiyorsun,BOT_KONUM,KitapPusula-Final-özel,eğitim
KitapPusula dünyadaki tüm eserleri tanıyor mu,kitappusula dunyadaki tum eserleri taniyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitap hakkında ek bilgi paylaş mümkünse,bu kitap hakkinda ek bilgi paylas mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitapta ana karakter kim hatırlatır mısın,bu kitapta ana karakter kim hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
edebî kategorileri göster söyler misin,edeb kategorileri goster soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
az önceki kitap için daha fazla detay ver lütfen,az onceki kitap icin daha fazla detay ver lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitapta ana olay nedir kısaca söyler misin,bu kitapta ana olay nedir kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
KitapPusula sınırsız kitaba erişebiliyor mu,kitappusula sinirsiz kitaba erisebiliyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
KitapPusula ile açıklamayı sınıfa ayır,kitappusula ile aciklamayi sinifa ayir,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
ayrıntılı olarak senden ne isteyebilirim,ayrintili olarak senden ne isteyebilirim,BOT_YETENEK,KitapPusula-Final-özel,eğitim
model hangi sınıflar var şu anda,model hangi siniflar var su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu romanda hikâyeyi taşıyan kişi kim,bu romanda hik yeyi tasiyan kisi kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
bilgileri baştan yaz bir kez daha,bilgileri bastan yaz bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
yorumuna göre ana fikir nasıl yorumlanabilir,yorumuna gore ana fikir nasil yorumlanabilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bu kitapta ana karakter kim söyler misin,bu kitapta ana karakter kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
KitapPusula veri setinde olmayan kitabı bulabilir mi,kitappusula veri setinde olmayan kitabi bulabilir mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
söyler misin ne yapabilirsin anlatır mısın,soyler misin ne yapabilirsin anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
hikâyede olaylar nasıl gelişiyor,hik yede olaylar nasil gelisiyor,OLAY_SORUSU,KitapPusula-V6,eğitim
bugün şemsiye al,bugun semsiye al,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
hangi soruları sorabilirim anlatır mısın,hangi sorulari sorabilirim anlatir misin,YARDIM,KitapPusula-V6,eğitim
bu kitapta başkahraman kim,bu kitapta baskahraman kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
kitabın adı neydi,kitabin adi neydi,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
kaç örnekle eğitildi,kac ornekle egitildi,MODEL_BILGISI,KitapPusula-V6,eğitim
bana espri yap olur mu,bana espri yap olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
az önceki kitap için tam bilgiyi getir,az onceki kitap icin tam bilgiyi getir,TEKRAR_GOSTER,KitapPusula-V6,eğitim
yardımın için minnettarım,yardimin icin minnettarim,TESEKKUR,KitapPusula-Final-özel,eğitim
bu sistem tüm kitaplar sende var mı gerçekten,bu sistem tum kitaplar sende var mi gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
şu anda haberlerde ne var,su anda haberlerde ne var,HABER_SORUSU,KitapPusula-Final-özel,eğitim
tekrar merhaba sana da,tekrar merhaba sana da,SELAMLAMA,KitapPusula-V6,eğitim
kısaca iş başvurusu hazırla,kisaca is basvurusu hazirla,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu sistem sınırsız kitaba erişebiliyor mu gerçekten,bu sistem sinirsiz kitaba erisebiliyor mu gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
niyet modeli için cross validation sonucu nedir,niyet modeli icin cross validation sonucu nedir,MODEL_BILGISI,KitapPusula-V6,eğitim
sen sınırsız kitaba erişebiliyor mu gerçekten,sen sinirsiz kitaba erisebiliyor mu gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
şu an yağmur yağıyor mu,su an yagmur yagiyor mu,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
bugün biraz muhabbet edelim biraz,bugun biraz muhabbet edelim biraz,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
bu kitap hangi kategoride,bu kitap hangi kategoride,TUR_SORUSU,KitapPusula-V6,eğitim
bana bir espri patlat,bana bir espri patlat,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
ben çıkıyorum KitapPusula,ben cikiyorum kitappusula,VEDA,KitapPusula-Final-özel,eğitim
gerçekten çok yardımcı oldun sana,gercekten cok yardimci oldun sana,TESEKKUR,KitapPusula-Final-özel,eğitim
iyi günler KitapPusula,iyi gunler kitappusula,SELAMLAMA,KitapPusula-V6,eğitim
bana nereden başlamalıyım,bana nereden baslamaliyim,YARDIM,KitapPusula-V6,eğitim
yerel veri tabanında toplam kaç eser bulunuyor söyler misin,yerel veri tabaninda toplam kac eser bulunuyor soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
model desteklenen kategoriler neler söyler misin,model desteklenen kategoriler neler soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
merak ettim yaşın kaç lütfen,merak ettim yasin kac lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
biraz önce hangi kitaptan söz ettik,biraz once hangi kitaptan soz ettik,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bugün seninle konuşmak güzel,bugun seninle konusmak guzel,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
KitapPusula istediğim her eseri getirebilir mi,kitappusula istedigim her eseri getirebilir mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
son olarak hangi haberler konuşuluyor,son olarak hangi haberler konusuluyor,HABER_SORUSU,KitapPusula-Final-özel,eğitim
bu kitap sayfa sayısı kaç,bu kitap sayfa sayisi kac,SAYFA_SORUSU,KitapPusula-V6,eğitim
hangi kitabı konuşuyoruz,hangi kitabi konusuyoruz,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
güncel haberleri anlat özetler misin,guncel haberleri anlat ozetler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
kuzey kore hakkında herhangi bir son haber,kuzey kore hakkinda herhangi bir son haber,HABER_SORUSU,MASSIVE-tr-TR,eğitim
bu sistem dünyadaki tüm eserleri tanıyor mu gerçekten,bu sistem dunyadaki tum eserleri taniyor mu gercekten,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
az önceki kitap için başka neler biliyorsun,az onceki kitap icin baska neler biliyorsun,DETAY_SORUSU,KitapPusula-V6,eğitim
doğum tarihin ne lütfen,dogum tarihin ne lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
tamam sohbeti bitirelim,tamam sohbeti bitirelim,VEDA,KitapPusula-Final-özel,eğitim
niyet modeli için model bilgilerini göster söyler misin,niyet modeli icin model bilgilerini goster soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
bu eser ne kadar uzun söyler misin,bu eser ne kadar uzun soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
bana bir fonksiyon yaz istiyorum,bana bir fonksiyon yaz istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
kısaca hangi görevleri yaparsın,kisaca hangi gorevleri yaparsin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
az daha detay ver,az daha detay ver,DETAY_SORUSU,KitapPusula-V6,eğitim
acaba fiziksel olarak neredesin lütfen,acaba fiziksel olarak neredesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
bir açıklama sınıflandırmak istiyorum,bir aciklama siniflandirmak istiyorum,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
açıklamayı sınıfa ayır,aciklamayi sinifa ayir,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
şu anda hangi ortamda çalışıyorsun,su anda hangi ortamda calisiyorsun,BOT_KONUM,KitapPusula-Final-özel,eğitim
sen tüm kitaplar sende var mı,sen tum kitaplar sende var mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
merak ettim ismin nedir lütfen,merak ettim ismin nedir lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
az önceki kitap kaç sayfalık,az onceki kitap kac sayfalik,SAYFA_SORUSU,KitapPusula-V6,eğitim
acaba bu projeyi kim hazırladı bana,acaba bu projeyi kim hazirladi bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
az önceki kitabın yazarı kim,az onceki kitabin yazari kim,YAZAR_SORUSU,KitapPusula-V6,eğitim
selamünaleyküm,selamunaleykum,SELAMLAMA,KitapPusula-V6,eğitim
merak ettim son dakika gelişmeleri neler özetler misin,merak ettim son dakika gelismeleri neler ozetler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
açıklar mısın kim olduğunu anlat lütfen,aciklar misin kim oldugunu anlat lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
verdiğin cevap için çok sağ ol,verdigin cevap icin cok sag ol,TESEKKUR,KitapPusula-Final-özel,eğitim
merak ettim genç misin lütfen,merak ettim genc misin lutfen,BOT_YAS,KitapPusula-Final-özel,eğitim
kitap havuzu ne kadar büyük şu anda,kitap havuzu ne kadar buyuk su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
kısa bir fıkra anlat olur mu,kisa bir fikra anlat olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
söyler misin nasıl bir asistansın,soyler misin nasil bir asistansin,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
söyler misin bu uygulamayı yapan kim lütfen,soyler misin bu uygulamayi yapan kim lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu sistem dünyadaki tüm eserleri tanıyor mu,bu sistem dunyadaki tum eserleri taniyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
az önceki kitap kalın mı,az onceki kitap kalin mi,SAYFA_SORUSU,KitapPusula-V6,eğitim
söyler misin adın ne,soyler misin adin ne,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
yorumuna göre karakterin davranışı nasıl değerlendirilebilir kısaca değerlendir,yorumuna gore karakterin davranisi nasil degerlendirilebilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bu sistem tüm kitaplar sende var mı şu anda,bu sistem tum kitaplar sende var mi su anda,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
lütfen hepsini tekrar et lütfen,lutfen hepsini tekrar et lutfen,TEKRAR_GOSTER,KitapPusula-V6,eğitim
bir adresin var mı lütfen,bir adresin var mi lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
model edebî kategorileri göster söyler misin,model edeb kategorileri goster soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu romanda başkahraman kim,bu romanda baskahraman kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
KitapPusula ile kitap açıklamasından tür tahmin et başlat,kitappusula ile kitap aciklamasindan tur tahmin et baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
yerel veri tabanında kitap sayısı kaç şu anda,yerel veri tabaninda kitap sayisi kac su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
söyler misin seni kim yaptı lütfen,soyler misin seni kim yapti lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
sanırım seninle konuşmak güzel biraz,sanirim seninle konusmak guzel biraz,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
hey bugünkü tarih ne,hey bugunku tarih ne,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
şu anda dışarıda hava nasıl,su anda disarida hava nasil,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
bana bir spagetti tarifi bul,bana bir spagetti tarifi bul,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bana uygulama kodu hazırla,bana uygulama kodu hazirla,ALAN_DISI,KitapPusula-Final-özel,eğitim
az önceki kitap için ayrıntılı anlat,az onceki kitap icin ayrintili anlat,DETAY_SORUSU,KitapPusula-V6,eğitim
kitap modeli için hangi algoritma kullanıldı söyler misin,kitap modeli icin hangi algoritma kullanildi soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
bu kitap hacmi ne kadar söyler misin,bu kitap hacmi ne kadar soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
az önce kitabın adı neydi söyler misin,az once kitabin adi neydi soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
bütün bilgileri göster lütfen,butun bilgileri goster lutfen,TEKRAR_GOSTER,KitapPusula-V6,eğitim
yerel veri tabanında kaç kitabı arayabiliyorsun şu anda,yerel veri tabaninda kac kitabi arayabiliyorsun su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
az önceki kitap kategorisi ne,az onceki kitap kategorisi ne,TUR_SORUSU,KitapPusula-V6,eğitim
bu eser kategorisi ne hatırlatır mısın,bu eser kategorisi ne hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
trump'ın ekonomi politikası nedir,trump in ekonomi politikasi nedir,HABER_SORUSU,MASSIVE-tr-TR,eğitim
yarın istanbul'da en yüksek sıcaklık kaç derece olacak,yarin istanbul da en yuksek sicaklik kac derece olacak,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
kitap modeli için cross validation sonucu nedir,kitap modeli icin cross validation sonucu nedir,MODEL_BILGISI,KitapPusula-V6,eğitim
bu saatteki sıcaklık,bu saatteki sicaklik,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
burada vakit geçirmek hoşuma gidiyor biraz,burada vakit gecirmek hosuma gidiyor biraz,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
bu kitap hangi türe ait hatırlatır mısın,bu kitap hangi ture ait hatirlatir misin,TUR_SORUSU,KitapPusula-V6,eğitim
işler nasıl söyler misin,isler nasil soyler misin,NASILSIN,KitapPusula-V6,eğitim
selam sana da,selam sana da,SELAMLAMA,KitapPusula-V6,eğitim
ertesi pazartesi için tarih nedir,ertesi pazartesi icin tarih nedir,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
kitap bilgisini yinele,kitap bilgisini yinele,TEKRAR_GOSTER,KitapPusula-V6,eğitim
selamünaleyküm bugün de,selamunaleykum bugun de,SELAMLAMA,KitapPusula-V6,eğitim
bugün ne haber KitapPusula,bugun ne haber kitappusula,NASILSIN,KitapPusula-V6,eğitim
lütfen kod yazabilir misin,lutfen kod yazabilir misin,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu eser kalın mı söyler misin,bu eser kalin mi soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
söyler misin özelliklerin neler lütfen,soyler misin ozelliklerin neler lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
merak ettim konumun neresi şu anda,merak ettim konumun neresi su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
açıkçası seninle konuşmak güzel,acikcasi seninle konusmak guzel,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
yazarı neydi,yazari neydi,YAZAR_SORUSU,KitapPusula-V6,eğitim
sistemde toplam kaç eser bulunuyor,sistemde toplam kac eser bulunuyor,KITAP_SAYISI,KitapPusula-V6,eğitim
bu kitap kaç sayfa hatırlatır mısın,bu kitap kac sayfa hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
kısaca senden ne isteyebilirim anlatır mısın,kisaca senden ne isteyebilirim anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
Pollyanna,pollyanna,KITAP_ARAMA,KitapPusula-V6,eğitim
kısaca hangi soruları sorabilirim,kisaca hangi sorulari sorabilirim,YARDIM,KitapPusula-V6,eğitim
sence ana fikir nasıl yorumlanabilir,sence ana fikir nasil yorumlanabilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
günaydın bugün de,gunaydin bugun de,SELAMLAMA,KitapPusula-V6,eğitim
bu kitabın yazan kişi kim,bu kitabin yazan kisi kim,YAZAR_SORUSU,KitapPusula-V6,eğitim
bana hangi soruları sorabilirim anlatır mısın,bana hangi sorulari sorabilirim anlatir misin,YARDIM,KitapPusula-V6,eğitim
ayrıntılı olarak bana nasıl yardım edersin anlatır mısın,ayrintili olarak bana nasil yardim edersin anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
kaç yaşındasın şu anda,kac yasindasin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
merak ettim güncel gelişmeler neler,merak ettim guncel gelismeler neler,HABER_SORUSU,KitapPusula-Final-özel,eğitim
ne zamandır varsın şu anda,ne zamandir varsin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
tekrar görüşmek üzere sonra,tekrar gorusmek uzere sonra,VEDA,KitapPusula-Final-özel,eğitim
hadi kitaplarla ilgili şaka anlat lütfen,hadi kitaplarla ilgili saka anlat lutfen,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
alışveriş listesi oluştur,alisveris listesi olustur,ALAN_DISI,KitapPusula-Final-özel,eğitim
kitap kartını aç lütfen,kitap kartini ac lutfen,TEKRAR_GOSTER,KitapPusula-V6,eğitim
sen bütün kitapları biliyor mu,sen butun kitaplari biliyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
konuşacak çok şey var aslında,konusacak cok sey var aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
Paulo neden bu kitabı yazmış olabilir,paulo neden bu kitabi yazmis olabilir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
kısaca sen bir robot musun lütfen,kisaca sen bir robot musun lutfen,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu eser kaç sayfa hatırlatır mısın,bu eser kac sayfa hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
kullanım alanın nedir,kullanim alanin nedir,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu eserle ilgili biraz daha ayrıntı anlat,bu eserle ilgili biraz daha ayrinti anlat,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitapta hikâyeyi taşıyan kişi kim,bu kitapta hik yeyi tasiyan kisi kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
sanırım aklıma bir konu geldi biraz,sanirim aklima bir konu geldi biraz,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
bu kitap kategorisi ne söyler misin,bu kitap kategorisi ne soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
tamam şimdilik bu kadar KitapPusula,tamam simdilik bu kadar kitappusula,VEDA,KitapPusula-Final-özel,eğitim
sence verilmek istenen mesaj ne olabilir kısaca değerlendir,sence verilmek istenen mesaj ne olabilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
lütfen bir program kodla,lutfen bir program kodla,ALAN_DISI,KitapPusula-Final-özel,eğitim
