Kitap Adı,Kitap Açıklaması,Kategori
Köhne Okyanusun Alacası,"İnsan doğar, büyür, yaşar ve ölür. Kaderi ise doğmadan önce yazılır ve bu kaderi yaşarken tekrardan kendi elleriyle yazar. Kader bir örgüye benzer. Doğduğumuzda bir bütün halindedir. Büyüdükçe ilmekleri açarak sil baştan yeniden örgü oluşturmak ya da temeli olan bir binaya daha nice ilmek eklemek ise kendi tercihidir. Bazen bu konuda yardıma ihtiyacı olabilir. İlmeğin nasıl atıldığını öğrenmek büyük bir sabır ister. Düşe kalka da olsa yapmayı öğrenir. Bozar, bozar, bozar… Ve en sonunda sıkı bir ilmek atar. İşte bu hayatının temelidir, dönüm noktasıdır. Nasıl ki temeli sağlam bir binanın üstüne",Roman
Arsen Lupen Sekiz Yüz On Üç,"Fransız yazar Maurice Leblanc’ ın ölümsüz kahramanlarından “Arsen Lupen” toplumsal kuralları yok saymasına rağmen kıvrak zekâsı ve kurnazlığıyla hem eser içeriğinde hem okurlarda hayranlık uyandırabilen maceralara imza atmıştır.Bazı yetenekler övgüye değer görülürken bazı yetenekler adalet, toplum ve din ekseninde hor görülür. Ancak zekayla birleşen yetenekler her alanda her zaman ilgi çekmiştir. Bir suç dehası Arsen Lupen ezberlenmiş kuralların aksine kendi kurallarıyla güvenlik güçleriyle kedi fare oyunu oynarken, okuyucuyu insan zekasının sınırsızlığı ve hayal gücünün sonsuzluğu arasında dü",Polisiye
Hajar Towers,Şimdi hem hissediyorum hem de adını koyuyorumDoğum kanalı hayret vericidir. Yaşam formu değişirkenNeler yaşar insan o kısacık anda korku ve teslimiyetSudan havaya havadan toprağa geçerken ateşMüslüman korku ve ümit arasında gidip gelendirAnnemiz Hacer’in arasında gidip geldiği İşgal altındaysan ya da kovulmuşsan yurdundanHayvansı doğana sığınmaya ihtiyaç duyarsınZihninin susturduğu her şey birdenbire ayaklanırGarip gelebilir ama bunun adı kahramanlıktır,Şiir
Refi’ Cevad Ulunay / Bir İngiliz Muhibbinin Millî Mücadele Dönemi Yazıları,"Cumhuriyet Dönemi’nin en önemli gazetecilerinden biri olan Refi’ Cevad Ulunay’ın Millî Mücadele Dönemi’yle ilgili Alemdar gazetesinde yazdığı yazıları ilk kez kitaplaşıyor! Ulunay, İttihad ve Terakki Dönemi’nde de iktidarı eleştiren yazılarıyla dikkatleri üzerine çekmiş bir gazeteciydi. Bu eser, Millî Mücadele tarihimizin en çok konuşulan ve tartışılan konularından biri olan Mütareke Dönemi’nin irdelenmesine ve anlaşılmasına önemli katkılar sağlayacak, tarihî belge niteliğinde bir eser! Prof. Dr. Metin Ayışığı, Refi’ Cevad’ın yazılarıyla ilgili inceleme yapıyor, yazılardan örnekler sunuyor, Al",Deneme
Varlık İkilemi,"""Bizler, insan adlı varlıklar; düşünen varlıklarız. Bu, bizi gerçeklik bakımından daha üstte kılmaktadır. Ancak bizim düşüncemiz ve hiçbir değere tekamül etmeyen kıymetli yaşantımız, yaptığımız rollerle yok olmaktadır. Var olan zincirin dışında kalmamak için yaptığımız sahte seçimler, sahte samimiyetler bizleri gerçekten boş şeylere itiyor. Bırakın felsefe ve bilimi daha kendimizi bile tanımamıza izin vermiyorlar. Herkese sunulan aynı içerik, aynı yaşam bizleri aynı kılıyor. Hiçbir iş yapmayıp kafelere oturmayı mutluluk sanan gruplar oluşturuyor. Oysa mutluluk dediğimiz hayatın anlamını gerçek",Deneme
Gözlerin Şiir Ben de,Ben hiç şiir yazmazdımBilmezdim ki şiirinGözde kâğıtBakışta kalemYürekte mısraHece hece bölünüpKurşun gibi vurduğunuBilmezdim ki şiirinAteş olup kor korKelimelerde tutuştuğunuGözlerin bir kitap kadarŞiir okuduğunuBilmezdim ki şiirin sen olduğunuGözlerin şiir bende…,Şiir
Aydınlanma 3 Felsefi Aydınlanma - Tinsel Aydınlanma,"Aydınlanmanın dine karşı geliştirilen bir düşünce olduğu şeklindeki genel yargı 18. yüzyılın ikinci yarısından itibaren Almanya’da geçerliliğini kaybetmiştir. Kant, ‘’Din ezberleyicileri’’ hakkında en doğru tanımı teşhis etmekte gecikmemiştir! Gerçekten de gerek Yahudi gerek Hristiyan ve gerekse de Müslümanların tek bir ortak zihinsel faaliyeti varsa o da Tanrı’nın varlığı konusundaki gerçek istekleri; “Neyi bilebilirim?” sorusuyla değil, “Ne umabilirim” beklentisiyle ilgili ezberlerdir.Saf akıl, Tanrı’nın ne varlığını ne de yokluğunu ispatlayabilir. Ancak, insan bilgisi nihai gerçekliğin gize",Anı
Kavga ve Diğer Öyküler,"Slovak edebiyatının en önemli isimlerinden biri olan Timrava ve onun yoğun toplumsal eleştirilerle dolu, kırsalın doğasını gözler önüne seren öyküleri,Türkçede ilk kez, sizlerle!“Timrava” mahlası ile bilinen Slovak yazar Bozena Slančíkova (1867-1951), 19. yüzyılın sonu itibariyle yükselen toplumsal ve siyasi sorunları öykülerinde dile getiren en etkili kadın yazar olarak kabul edilir. Timrava’nın hikâyelerinde Macarlarla Slovakların arasındaki husumet ve gerilimler, Slovak ulusunun içinde bulunduğu karmaşık durum, yükselen milliyetçilik, alkolizm, kadınların toplum içindeki acziyet dolu konumu",Hikâye
Çıplak Berlin,"Geceleyin geç vakit, siyasetin meze yapıldığı, artık dolaşımdan kalkmış devrim sorunsalının genç yüreklerimizi tutuşturduğu rakı sofralarından dönüşte uğradığım izbe fuhuş yuvalarının yerini alan, benzerlerinin kentin hemen her mahallesinde mantargibi bittiği o buluşmaevi düşüyor aklıma. Müşteriler dik merdivenden çıkıp salonu doldurmamışlardır henüz. Kızlar, ince ve narin gövdelerini açıkta bırakan giysileri, dalgın bakışları ve yalnızlıklarıyla, yan gelip serildikleri koltuklarda sıkıntıdan patlamak üzeredirler. Az sonra, müşteriler çoğaldıkça, sırayla kalkıp dönmeye başlarlar, arka odalara",Anı
Meleran - Büyünün Yolu Serisi 1. Kitap: Çakıldak Döngüsü,"Onlar, birbirinden gece ve gündüz kadar farklı olan çocuklardı. Meleran’ın en tekinsiz zamanlarında, karmaşaların içinde var olan ama yaşadıkları bu dünyanın değişiminde de en büyük paya sahip olacak çocuklar. Bu farklılıklarının tüm yaşayanları nasıl etkileyeceğini o zamanlar kimse kestirememişti.Her yıl Çakıldak Döngüsü denilen bir dönemde Seidonkel Büyücü okulundan Meleran'ın dört bir yanına dağılan eğitmenler kendi öğrencilerini, uyanmayı bekleyen çakıldaklarını, toplar ve onları eğitilmek üzere Seidonkel'e getirirlerdi. Gelgelelim Karmaşalar Çağı başladığında bu görev geçmişte olduğu kada",Bilimkurgu-Fantazya
TanBerk,"Ses tüm ormanda yankılandı. Yuvalarından uçuşan kuşlar tüylerini etrafa yaydı. Korkudan koşuşmaya başlayan Delnir kedilerinin ayak sesleri duyuldu. Yaşam Ağacı uykudan uyanırcasına kendini hafiften silkti. Ağacın zirvesinde bulunan Trakel sonunda düdüğünü çalmış olmalıydı. Trakel sabah akşam ormanı gözetler ve şüpheli bir şey gördüğünde yetkililere bildirirdi. Ancak bu düdüğü çalmanın anlamı ise farklıydı. Bu düdük ancak tüm ormanı tehlikeye sokacak bir durum olduğunda çalınırdı.Tan ve Berk’in dertleri büyüdükçe verdiği kararların önemi de büyüyecekti. Kim bilir, belki de bu kararlar dünyanın",Bilimkurgu-Fantazya
Zan,Her ölümRüyalara uy’anmak belkiDe sanıldığı kadar uysal değilHırçın bedevi çığlığıylaHoyrat ölüyoruz! ÖlelimAtlar huysuzlanmasın.Zan ile açılsın kalbimizKızılderili ağıtıYaşadığımız ile sınansın kalbimizSevgilimin teni: çocukKeder münzevileriSon ile kınansın kalbimizÖlüler panayırıHamamböcekleriTırtıl ölümüEmanetMırıldanmaAteşböcekleri,Şiir
Kırık Taht Bir Kızıl Kraliçe Koleksiyonu (Ciltli),"BİR KIZIL KRALİÇE KOLEKSİYONU TAHTSIZ BİR KRAL…SAVAŞLA ÇEHRESİ DEĞİŞEN BİR DÜNYADAARAYIŞA ÇIKIYOR. DÜŞMAN KARDEŞLER…SON BİR KEZ KARŞILAŞIYOR. LANETLİ BİR KRALİÇE…GELECEKTEKİ OĞLUNA UMUT DOLU SÖZLER SÖYLÜYOR. GENÇ BİR KIRMIZI MUHAFIZ… İSYANI KÖRÜKLEYECEK, UFAK BİR UMUT BULUYOR. VE BİR KAHRAMAN… HUZURU NEREDE BULACAĞINI VE NEREYE AİT OLDUĞUNU KEŞFEDİYOR. Öncesi, şimdi ve sonrası.Kızıl Kraliçe öyküleri ve haritaları koleksiyonu. Bu savaş henüz bitmedi ve benim yapacak daha çok işim var. “Harika bir dünya. Zeki karakterler. Sürprizler. Epik savaş sahneleri… İyi bir kitap arıyorsanız bunu alın.”The",Bilimkurgu-Fantazya
Ginza Hayaleti ve Diğer Gizem Öyküleri,"“Ginza Hayaleti yeni bir şey değil, hep buralardaydı diyebiliriz.” Gerçek ismi Fukutaro Suzuki olan Keikiçi Osaka, Şiro Hamao ve Edogawa Rampo gibi isimlerle İkinci Dünya Savaşı öncesi Japon polisiyesinin ilk örneklerini kaleme aldı ve türün popüler olduğunu göremeden genç yaşta hayatını kaybetti. İmkânsız ve doğaüstü gibi görünen vakaları gerçekçi bir yaklaşımla açıklamaya çalıştığı dedektif öyküleri Japonya’da 1980’den sonra yeniden keşfedildi ve Osaka geç gelmiş bir şöhrete kavuştu. Ginza Hayaleti ve Diğer Gizem Öyküleri’nde Osaka’nın en iyi Japon dedektif öykülerinden biri kabul edilen “Ce",Polisiye
Dedektif Şiko Yelken Krallığı,"Hayatın kıyısında bir yerlerde, tek amaçları yaşama tutunmaya çalışmak olan Şiko ve arkadaşları, hiç beklemedikleri bir anda kendilerini uslanmaz birer keşif yolcusu ve amansız savaşçılar olarak bulur. Sadece kendilerinin değil yaşadıkları dünyanın da kaderini değiştirecek fırsat ayaklarına gelmiştir.Akıl oyunlarına doyacağınız, macera ve heyecanın git gide arttığı altı büyük olayı Şiko ile birlikte çözerken dostluğun, sadakatin ve inancın neleri başardığına tanık olacaksınız.Sayfalarını her yaştan okura açan Dedektif Şiko fantastik romanı, bundan sonra olacaklardan sorumlu değildir. Zekâ, ira",Bilimkurgu-Fantazya
Bir Avukatın Anıları: Kefede Kalanlar,"... Sosyete boşanmalarını, çapkın zina davalarını, hışırdayan etekleri, canlı, zevkli parfümleri, hovarda kadın bakışlarını, kendilerini güçlü sanan, bazen de hafif boynuzlu şık beylerin nekes veya cömert cüzdanlarını, sıcak, kabul, ümit ve hayalleri bir tarafa iterek, sırtımda ceza kanunu, heybemde ceza hukuku, kendimi, köylere, dağlara, cinayetlere, kan gütmelerin ortasına, Anadolu topraklarına, yoksul mezralara, iyi, güzel, çi8rkin, mert ve namert insanların ciğerlerine attım...",Anı
Kusursuz Casus Yoktur,"Dünyaca ünlü adli bilimler uzmanı ve kriminolog Prof. Dr. Sevil Atasoy, casusların gizemli dünyasını, istihbarat yöntemlerini ve nasıl yakalandıklarını aydınlatıyor. Soğuk Savaş sırasında İstanbul casuslar için nasıl bir arenaydı?Gececiler, çöpçüler, pizzacılar… FBI’ın casusları yakalamak için kullandığı sıra dışı yöntemler nelerdi? Filmlere konu olan ünlü casus Çiçero’nun akıl almaz hikâyesi…Mata Hari bir günah keçisi miydi?Epstein gerçekten intihar etti mi?Naziler genelevleri bir istihbarat merkezi olarak nasıl kullanıyordu? “Casusların cinselliğe başvurması istisna değil. Her ne pahasına ol",Polisiye
Serafina ve Büyülü Değnek,"Robert Beatty'den, Serafina ve Siyah Pelerin'e heyecan verici bir devam kitabı geliyor. Serafina, Siyah Pelerinli Adam’ı yendikten sonra gölgelerden sıyrılıp Biltmore Evi’ne, gün yüzüne çıkmıştı. Her akşam ormana, annesini ziyarete gidiyor ve dağaslanlarının hayatlarını öğreniyordu. Fakat Serafina kendini iki dünya arasında kalmış gibi hissediyordu: Biltmore’un şık giyimli hanımları ile yaşayamayacak kadar vahşi, dağaslanlarıyla yaşayamayacak kadar da insandı. Biltmore’da ardı ardına yaşanılan saldırılardan sonra Serafina’nın evdeki koruyucu kimliği tehlike altına girmişti. Tek yandaşı ve en i",Bilimkurgu-Fantazya
Harabatı Dede’den Nefesler,Muhammet Mustafa aleme rahmetAliyü’l-Murtaza sırr-ı velayetHatice Fatıma eylerse imdatİmdat eyle şahım yoluna geldim Hasan ile Hüseyin kendi özümdeŞu dünyada fanidir yoktur gözümdeİmam Zeynel ile Hakk’ın izindeİmdat eyle şahım yoluna geldim Muhammet Bakır ile ben ilmi dersemİmam-ı Cafer’in sırrına ersemMusa-i Kazım’a gölümü versemİmdat eyle şahım yoluna geldim İmam-ı Rıza’dır Şah-ı HorasanMuhammet Taki’den takva öğrensemDelili Ali Naki ile uyarsamİmdat eyle şahım yoluna geldim Hasanü’l-Askerî yardıma gelseCümle âlemleri birlik eyleseMehdi-i sahib-zaman da gelseİmdat eyle şahım yoluna geldim Ha,Şiir
Dikenlikler Kralı / Parçalanmış İmparatorluk Serisi 2,"İmparator olacak çocuk sonunda tahtına kavuşur ancak taç takmanın bedeli ağırdır… “Yükseklere ulaşmak isteyen, cesetlerin üstüne basmak zorundadır ve benim arkamda birçok biraderimin cesedi var. Bir piyonken oyuncu oldum ve oynadığımız bu küçük oyunu ben kazanacağım, gerekirse tüm dünyayı da kana boğarım.” Lordlar ve ufak krallar, Parçalanmış İmparatorluk’u ele geçirmek için çatışırken ülke yüzlerce savaşın ateşiyle harap olmuş durumdadır. Annesi ile kardeşinin intikamını almak için yürüdüğü uzun yolda Prens Honorous Jorg Ancrath, bitmek tükenmek bilmeyen bu savaşın arkasındaki gizli elleri fa",Bilimkurgu-Fantazya
Çünkü Herkes Sevdiğini Öldürür,"Bu bir Lego roman... 42 adet Lego’dan (bölümden) oluşuyor... Her Lego’nun kendi rengi, kendi resmi, kendi hikâyesi, kendi sırrı var... Ben kendime göre bir sıra yaptım ve bence bir hikâye oluştu. Siz de bütün Legoları dilediğiniz gibi karıştırır, dilediğiniz gibi sıraya dizebilir, aynı Legolarla bir kaleydoskop izler gibi, farklı renkler, farklı resimler görebilir, farklı hikâyeler oluşturabilirsiniz. Ve varsa hikâyenin farklı boyutlarını çözebilir, farklı hikâyeler kurabilirsiniz... Hatta bence siz de kendi hayatınızdan, hayallerinizden kendi Legolarınızı da ekleyin mutlaka, hikâyemiz zenginl",Roman
İyi Eşler (Ciltli),"Küçük Kadınlar’ın sonunda, yeni edindikleri tecrübelerle birlikte sevgi dolu evlerinde bıraktığımız March kızlarının macerası üç yıl sonra kaldığı yerden devam ediyor ve çocukluktan kadınlığa uzanan yolculukları dönemin ekonomik ve toplumsal yapısıyla iç içe geçerek ilerliyor.1869 yılında yayımlanan İyi Eşler, esas olarak kız kardeşlerin yeni ilişkiler kurmasına ve aile evinden ayrılışlarına odaklanır. Dört kardeş büyüyüp dünyadaki yerlerini buldukça, March ailesi için işler değişmeye başlar. Meg kendisi ve John için iyi bir yuva kurmak isterken, Jo yazmak ve seyahat etmek arzusundadır; Amy sa",Roman
Hep Yaşadığımı Hatırlatıyorum Kendime,"“Hep Yaşadığımı Hatırlatıyorum Kendime”deki anılar, yer yer Metin Celâl’in çocukluk ve gençlik yıllarının izlenimleriyle; yer yer de ta­nık olduğu bir olay, katıldığı bir etkinlik, tanıdığı şair veya yazarlar, muhatap olduğu bir sorun, okuduğu bir kitap veya dergi aracılığıyla zenginleşiyor. Böylece, 1960’lardan günümüze kadar geliyor. Fener­bahçelilik, Metin Oktay sevgisi, pul koleksiyonculuğu merakı, İslam Çupi’nin yazılarına duyulan hayranlık, Can Yücel’in renkli kişiliği ve Tomris Uyar’ın öğüdünden kalanlar, Onat Kutlar’ın kayıp gün­lüğünün bulunuşu, yayıncının kitapçılıkla imtihanı, kutla",Anı
Bir Kibritle Yok Olmak 1 (Karton Kapak),"İNSAN, BİR KUTU KİBRİTE BENZER.VAR OLUR, YANAR VE SÖNER... Gizli bir askerî üs…Bu üssün içinde yetiştirilen gölge askerler...Hayalet Timi en kritik operasyonuna başlamak üzere...Operasyon Adı: “Balkan Kızı” Yüzbaşı Barut, henüz çok küçük yaşlarında Türkiye’den Makedonya’ya kaçırılan Talia Alaz’ı yıllar sonra ülkesine getirmekle görevlendirilmişti. Yalanlarla büyüyen Talia, kendisine ulaşan kibrit kutularıyla gerçeği öğrenmek üzereydi. Önünde iki seçenek bulunuyordu; ya kibriti yakacaktı ya da kendini... Yüzbaşı Barut ve kızıl saçlı bir Balkan Kızı... “Ben, benimle yanmanı, geride kalan her şey",Roman
Sana Bir Çift Sözüm Var,“Ya gülleri olmalıyız ikimiz bir fidanınYa da ölmeliyiz yıldızların altında…”__Hayatı yaşanmışlıklarla resmediyor şair.Uçlarda yaşıyor.Onun keskin çizgileri var ve dokunulmazları.,Şiir
Öğretmenin Dünyasından Anılar,"Her çocuk bir öğretmenin elinde şekilleni Abdullah Kamil Satıcır, hayata karışır.Öğretmen bir usta, bir bahçıvan, bir heykeltıraş; öğrencilerini şevkle, gayretle, sevgiyle yetiştirip sıraya katan, geleceğe hazırlayan bir çeşit insan mühendisi. Öğretmenlik, geçilen yolların çocukların gözleri ve sevgi dolu kalbinin aydınlattığı eşsiz bir serüven. Eğitim kavramıyla birlikte mesleğimiz de bugüne kadar kutsiyeti, vazgeçilmezliği, önemi, tarihi, yeni gelişmeleri, toplumdaki yeri gibi farklı cihetleriyle ele alındı, çok sohbete, kitaba, şiire, hikâyeye, yayına ve yazıya konu oldu.Bir gün biz de kend",Anı
Dalgalar ve Yansımalar,"""Ben de bu karaladıklarımla, geçmişte yaşanan, birbirine değen, dokunan hayatlardan, yaşanmışlıklardan, onların bende kalan izdüşümlerini, yansımalarını, bunların bugüne bağlanmasını, çağrışımlar yapmasını; kendisini yeniden yaratmasında, dağılan parçaları toplayabilmesinde bir katkı olsun, bir kapı açılsın istedim.""Olcay TEKİNOlcay TEKİN, 1 Mayıs 1944 yılında Zonguldak'ta maden işletmecisi bir baba ve Kafkas kökenli bir annenin çocuğu olarak dünyaya geldi. İlk ve ortaokulu Çaycuma’da, liseyi Zonguldak Mehmet Çelikel okulunda okudu. Okulun futbol, güreş takımlarında yer almış, masa tenisi Şamp",Şiir
İsyan (Karton Kapak),"Bir şehri kurtarmak için neleri feda edebilirsin? Dünyada insanlar keskin çizgilerle ikiye ayrılmıştır ve bu düzenin sadece bir kazananı vardır. Zenginler, kendilerini hava kirliliğinden ve hastalıklardan koruyan özel kostümler giyerken kalan herkes fakirliğin pençesinde kırklı yaşlarını bile göremeden ölmektedir. İnsanların yozlaşmışlığı yüzünden hayatını kaybetmiş annesinin acısını içinde taşıyan Zhou, bedeli ne olursa olsun bu düzeni değiştirmeye kararlıdır. Arkadaşlarının da yardımıyla, tüm bu felaketin yaratıcısı olan şirket Jin Holding’i içeriden yok etmek üzere zenginlerin arasına sızma",Bilimkurgu-Fantazya
Kendine İyi Bak,"Bana o gün 'Kendine iyi bak' demişti. Hafiften başımı salladım yüzüne bakmadan. Hemen yanımdaydı, eli omzumda. Dönüp sevdiğimi söyleyemedim. Yanımdaydı ama sevdiğimi söyleyemeyecek kadar da uzağımda. Hiçbir şey söylemeden uzaklaştım oradan. Sessizce, içimde fırtınalar koparken bir şey demeden gittim. Ne o durdurdu beni, ne de ben döndüm geriye. Sessizce, tüm acılarımı adımlarıma işleyip uzaklaştım yanından... Ben o gün kendime iyi bakamadım. Canımı sensizlikle yaktım.Kendimden çok yine sana baktım.",Deneme
Hikaye Oksijendir,"“Oksijensiz hayat olmazsa hikayesiz bir hayat da eksik olur.” diyor Hikaye Oksijendir kitabının yazarı Sait Aytemur. Kendisi bir reklam duayeni olan Aytemur, 21. Yüzyılın sinema ve reklam dünyasını damgasını vuran örnekler ve yaratıcılarının izinde hikayenin gücünün izini sürüyor bu kitabında. İtalyan yeni gerçekçilik sinema akımının kurucularından olan yönetmen Vittorio de Sica’ya ithaf ettiği Hikaye Oksijendir, metinler ve sahneler evreninde yaratılmış karakterlerin ve kurgusal dünyaların gerçek yaşam üzerindeki etkisini açıklıyor.Adeta bir senaryo kurgusuyla kaleme alınmış kitapta, sözü geç",Hikâye
Derin Duygu Gülistan,Aynı yıldızın altında iki sevdalının aşk hikayesini severek okuyacaksınız.Yazarın ilk denemesi olan derin duygu gülistan okuyuculara sunulmuştur.,Hikâye
Aşkı Giyinen Adam,"Fantastik edebiyatın kraliçesi Nazlı Eray, Dürnev Abla’nın evinde başlayan bu eşsiz serüvende sizleri Hollywood gecelerinden Ankara’nın gölgeli sokaklarına götürecek; bir erkeğin bir kadına hissettiği büyük aşkı yaşatacak ve bir koyun kellesinin kopyalanmış beynindeki gücü size hissettirecek.Dürnev Abla’nın yarı karanlık caddeye bakan salonu. Yeşil çuha kaplı masanın üstünde dağılmış tarot kartları; kılıç kralı, kupa kraliçesi, asılmış adam, değnek prensi, kader çarkı…Ünlü şarkıcı Eddie Fisher’ın menekşe gözlü Elizabeth Taylor’a olan sonsuz aşkı. Elizabeth, Eddie Fisher’ı mahvetmiş, onun şöhre",Roman
Kırılma Vakti,"“Herkes için bir vicdan takın askıyaFilmin sonuna yetiştirin bütün çığlıkları, kederleri, düşleriSonra yola düşüp, iyi yolculuklar görün..”Özgün E.Bulut’un şiirleri güçlü bir kalemden çıktığını haykırarak düşüyor kitabın sayfalarına. İlerledikçe kendinizden ve hayattan çok şey bulacağınız dizeler bittiğinde üzüleceksiniz, yeni bir şiir ve şairin ayak seslerini duyuyor olacaksınız…",Şiir
Sadie,"İntikam yolculuğuna çıkmış kayıp bir kız.Onun bıraktığı izleri takip eden bir adam.Nefes kesici bir son. EĞER O ÖLÜRSE GERÇEĞİ DE PEŞİNDE GÖTÜRECEK. Sadie’nin kolay bir yaşamı olmamıştı. Her şeyden uzak küçük bir kasabada kendi başının çaresine bakmaya çalışmış, bir yandan da kız kardeşi Mattie’yi büyütmüştü. Ama Mattie bir meyve bahçesinde ölü bulunduğunda, dünyası paramparça oldu.Üstünkörü bir polis soruşturmasının ardından kardeşinin dosyası çözümsüz kalınca, Sadie geçmişinin en karanlık zamanlarından tanıdığı katili bulmak ve adaleti sağlamak için elinde çok az bilgi olmasına rağmen yollar",Polisiye
Gündönümü,Güneş doğumunda batana kadarYurduma millete vatana selam.Günlerim başlayıp bitene kadarKefensiz toprakta yatana selam.Güneş burca girip paralanıncaDüşman ile dostlar aralanıncaÇakal kurşunuyla yaralanıncaHak deyip kurşunu atana selam.Barış güvercinim gökte uçarkenTerörist mazluma ölüm saçarkenMehmet mataradan suyun içerkenSiperde lokmasın yutana selam.Kan döken vahşiye kucak açtılarGüzelim dünyaya dehşet saçtılarYaptığı mevziyi koyup kaçtılarTozunu dumana katana selam.Hainler ne bilsin dini imanıDağıtırız hayal ile gümanıTürk milleti bir olmanın zamanıHudutlarda nöbet tutuna selam.Küçük Ahmet,Şiir
Aeneis,"Dünya üzerinde her toplum zaman içinde kendi tarihini, inançlarını ve değerlerini ele alan sözlü ve yazılı anlatılar yaratmıştır. Bu büyük anlatılar iyi-kötü, doğru-yanlış, cesaret-korku, sevgi-nefret, yaşam-ölüm gibi zıtlıklara dair izler barındırır ve gücünü, kalıcığını bu zıtlıklar arasındaki çekişmelerden alır. Binlerce yıldır okunan, modern edebiyatı derinden etkilemiş destanlar bunların en önemli örnekleridir. Bu dizimizde, çocuk ve gençler için uyarlanmış, çizimlerle zenginleştirilmiş destanları okurlarıyla buluşturuyoruz. Aeneis’te Troya Savaşı’nı sağ salim atlatan Aeneas’ın yurdundan",Hikâye
Radikal Kadınlar,"Radikal Kadınlar, kadim zamanlardan günümüze, dünyanın dört bir yanında yaşamış ve onlara biçilen rolü reddetmiş öncü kadınların ilham verici hikâyelerini anlatıyor. Karşılarına çıkan her engele ve zorluğa göğüs gererek devlet başkanı, asker, ressam, casus, korsan, futbolcu veya bilgisayar programcısı olmayı başarmış her yaştan, ırktan ve sınıftan kadınların hikâyelerini… Engelleri aşa aşa yürüyen, tehditlere aldırmadan yaşadıkları toplumların geleneklerine başkaldıran, şüpheli bakışları sonunda yere eğen ve yollarından asla şaşmayan bu kadınlar, bizi küçük ya da büyük ama hep kararlı mücadele",Biyografi-Otobiyografi
"Koyma Akıl, Oyma Akıl","Elinizdeki kitabı okurken 1971-1985 yıllarının gazete yazıları olduğunu unutabilirsiniz. Bunun bir nedeni Haldun Taner’in bu ülkeyi avucunun içi gibi bilen güçlü bir yazar olması ise öbür nedeni de kimi meselelerde henüz “bir arpa boyu” yol alınmamış olması. “Gündelik bir olayı, sıradan bir gözlemi, konuşma sanatının bütün incelikleriyle şerbetlendirerek öyle anlatır ki... İnsana ve dünyaya bakmanın birinci niteliğinin hoşgörü olduğunu hem bilir, hem bildirir.” – Doğan Hızlan “Bu çalkantılı toplumda Haldun Taner gibi aydınların ne kadar önemli oldukları, arkalarında bıraktıkları boşluklarda da",Deneme
Sonsuz Yansıma,"Hepimizin yaşamak istediği hayaller ve hayatlar vardı. Bir elin parmağını geçmeyen sayımızla hedeflerimize ulaşmak istiyorduk. Bu yolda, çoğumuzun hiçbir suçu yoktu. Bizim için ""kesin bir suçları vardır"" diyenlere ise tek suçumuzun yaşamak olduğunu söyleyebiliriz.Benim adım Kate. Arkadaşlarım tüm umutlarını bana bağladı. Onları yalnız bırakmamak için her birine kalpten bağlandım. Daha en baştan, sonunda ne olacağını bile bile çıktığım bu yol, çıkmaz sokağa da çıksa sevdiklerimin hayatını değiştireceğim.",Roman
Ramazan Tedaileri,"Kelimeler yağmur damlaları gibidir biraz. Her bir damla gökyüzünden yeryüzüne doğru süzülürken kendi yolunu bulur. Düştüğü toprağı bereketlendirir, yaprağı yeşillendirir, filizleri güçlendirir. Bizim medeniyetimiz de söz üzerine kurulmuş köklü bir medeniyettir. Mehmet Nezir GÜL, Ramazan Tedaileri'nde , bu bilinciyle gönlünden kalemine dökülen kelimelerle bir yağmur damlası gibi zihinlerde berekete, kalplerde samimiyete vesile olmaya gayret ediyor.",Deneme
Munis Yavrum (Faik Ali'den Munis Faik'e Mektuplar),"“Munis yavrum,Satırlara sığmayan özlemlerle doluyum. Kelimeler, sana duyduğum sevgiyi anlatmaya yetmez...”Fâik Âli’nin oğlu Munis Fâik’e yazdığı mektuplar, bir babanın sevgisini, hasretini ve nasihatlerini zamana meydan okuyan bir dille aktarıyor. Bu mektuplar sadece bir aile hikâyesi değil; aynı zamanda bir dönemin ruhunu, İstanbul’un sokaklarını ve insan ilişkilerinin samimiyetini de okuyucuya taşıyor.Selahattin Çitçi’nin derlediği Munis Yavrum, geçmişin duygularını bugüne ulaştıran, her satırında sevgiyi ve özlemi hissettiren bir eser.",Anı
İki İnsan İki Anıt,"...Sonra yeni binaya taşınıldı.Zuck yaslanmıştı.Yeni bine bu yakarıyı tanımıyordu.Arada bir duyulsa da bu tınılar sağır duvarlara bir seş söylemiyordu.Ona yabancıydı.Onu hiç içine sindiremedi.Bu duvalar, huzuru, bilgeliği ve barışı henüz tanımıyordu.Tanıyacak fırsatı da kaçırmıştı.Çünkü o 'gül bahçesi' bu binanın hiçbir duvarına dayanmıyordu artık.O bina, gel-gitle bir yükselip, bir alçalan koyu renk, (gücü kendinden gelmeyen) hırslı suların çevrelediği ve dövdüğü kayalık bir adaydı sanki.Dingin ve güzel bir atmosferde, kendisiyle barışık olağanüstü gayretin ve büyük bilginin değerini bilmesi",Roman
