Metin,Normal Metin,Niyet,Tahmin,Doğru
şu kitap için kitap künyesini yeniden aç lütfen,su kitap icin kitap kunyesini yeniden ac lutfen,TEKRAR_GOSTER,TEKRAR_GOSTER,True
verdiğin yanıt için minnetlerimi sunarım sana,verdigin yanit icin minnetlerimi sunarim sana,TESEKKUR,TESEKKUR,True
gerçekten minnetlerimi sunarım sana,gercekten minnetlerimi sunarim sana,TESEKKUR,TESEKKUR,True
verdiğin yanıt için yardımın faydalı oldu,verdigin yanit icin yardimin faydali oldu,TESEKKUR,TESEKKUR,True
gerçekten teşekkürümü kabul et sana,gercekten tesekkurumu kabul et sana,TESEKKUR,TESEKKUR,True
yardımın faydalı oldu KitapPusula,yardimin faydali oldu kitappusula,TESEKKUR,TESEKKUR,True
yardımın için teşekkürümü kabul et,yardimin icin tesekkurumu kabul et,TESEKKUR,TESEKKUR,True
verdiğin yanıt için teşekkürümü kabul et,verdigin yanit icin tesekkurumu kabul et,TESEKKUR,TESEKKUR,True
verdiğin yanıt için yardımın faydalı oldu KitapPusula,verdigin yanit icin yardimin faydali oldu kitappusula,TESEKKUR,TESEKKUR,True
verdiğin yanıt için teşekkürümü kabul et sana,verdigin yanit icin tesekkurumu kabul et sana,TESEKKUR,TESEKKUR,True
gerçekten emeğin için sağ ol sana,gercekten emegin icin sag ol sana,TESEKKUR,TESEKKUR,True
gerçekten minnetlerimi sunarım KitapPusula,gercekten minnetlerimi sunarim kitappusula,TESEKKUR,TESEKKUR,True
yardımın için minnetlerimi sunarım,yardimin icin minnetlerimi sunarim,TESEKKUR,TESEKKUR,True
yardımın için emeğin için sağ ol,yardimin icin emegin icin sag ol,TESEKKUR,TESEKKUR,True
yardımın için minnetlerimi sunarım sana,yardimin icin minnetlerimi sunarim sana,TESEKKUR,TESEKKUR,True
teşekkürümü kabul et KitapPusula,tesekkurumu kabul et kitappusula,TESEKKUR,TESEKKUR,True
incelediğimiz yapıt edebî biçimi nedir,inceledigimiz yapit edeb bicimi nedir,TUR_SORUSU,TUR_SORUSU,True
şu eser hangi edebiyat dalına girer,su eser hangi edebiyat dalina girer,TUR_SORUSU,TUR_SORUSU,True
şu eser roman kategorisinde mi merak ettim,su eser roman kategorisinde mi merak ettim,TUR_SORUSU,TUR_SORUSU,True
şu eser roman kategorisinde mi,su eser roman kategorisinde mi,TUR_SORUSU,TUR_SORUSU,True
şu eser tür bakımından nedir,su eser tur bakimindan nedir,TUR_SORUSU,TUR_SORUSU,True
incelediğimiz yapıt roman kategorisinde mi,inceledigimiz yapit roman kategorisinde mi,TUR_SORUSU,TUR_SORUSU,True
şu eser edebî biçimi nedir merak ettim,su eser edeb bicimi nedir merak ettim,TUR_SORUSU,TUR_SORUSU,True
şu eser hangi edebiyat dalına girer merak ettim,su eser hangi edebiyat dalina girer merak ettim,TUR_SORUSU,TUR_SORUSU,True
şu eser hangi sınıfta yer alıyor,su eser hangi sinifta yer aliyor,TUR_SORUSU,TUR_SORUSU,True
şu eser edebî biçimi nedir,su eser edeb bicimi nedir,TUR_SORUSU,TUR_SORUSU,True
artık ben artık gidiyorum,artik ben artik gidiyorum,VEDA,VEDA,True
o halde oturumu kapatalım KitapPusula,o halde oturumu kapatalim kitappusula,VEDA,VEDA,True
artık ben artık gidiyorum KitapPusula,artik ben artik gidiyorum kitappusula,VEDA,VEDA,True
sonra yeniden konuşalım KitapPusula,sonra yeniden konusalim kitappusula,VEDA,VEDA,True
artık oturumu kapatalım,artik oturumu kapatalim,VEDA,VEDA,True
şimdi sohbeti sonlandıralım hoşça kal,simdi sohbeti sonlandiralim hosca kal,VEDA,VEDA,True
artık sonra yeniden konuşalım hoşça kal,artik sonra yeniden konusalim hosca kal,VEDA,VEDA,True
artık sonra yeniden konuşalım KitapPusula,artik sonra yeniden konusalim kitappusula,VEDA,VEDA,True
artık oturumu kapatalım KitapPusula,artik oturumu kapatalim kitappusula,VEDA,VEDA,True
şimdi sohbeti sonlandıralım KitapPusula,simdi sohbeti sonlandiralim kitappusula,VEDA,VEDA,True
uygulamayı kullanırken kullanım adımlarını söyle,uygulamayi kullanirken kullanim adimlarini soyle,YARDIM,YARDIM,True
ilk kez girince özellik menüsünü anlat,ilk kez girince ozellik menusunu anlat,YARDIM,YARDIM,True
uygulamayı kullanırken özellik menüsünü anlat,uygulamayi kullanirken ozellik menusunu anlat,YARDIM,YARDIM,True
uygulamayı kullanırken özellik menüsünü anlat lütfen,uygulamayi kullanirken ozellik menusunu anlat lutfen,YARDIM,YARDIM,True
ilk kez girince kullanım adımlarını söyle,ilk kez girince kullanim adimlarini soyle,YARDIM,YARDIM,True
uygulamayı kullanırken hangi işlemler yapılabilir lütfen,uygulamayi kullanirken hangi islemler yapilabilir lutfen,YARDIM,YARDIM,True
uygulamayı kullanırken kullanım adımlarını söyle lütfen,uygulamayi kullanirken kullanim adimlarini soyle lutfen,YARDIM,YARDIM,True
incelediğimiz metnin yaratıcısı hangi yazar,inceledigimiz metnin yaraticisi hangi yazar,YAZAR_SORUSU,YAZAR_SORUSU,True
şu yapıtın yaratıcısı hangi yazar,su yapitin yaraticisi hangi yazar,YAZAR_SORUSU,YAZAR_SORUSU,True
şu yapıtın yazar adı nedir,su yapitin yazar adi nedir,YAZAR_SORUSU,YAZAR_SORUSU,True
şu yapıtın eseri ortaya koyan kim,su yapitin eseri ortaya koyan kim,YAZAR_SORUSU,YAZAR_SORUSU,True
altı kiloluk bir hindiyi ne kadar süre pişirirsin,alti kiloluk bir hindiyi ne kadar sure pisirirsin,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
makarna pişirmenin en kolay yolu nedir,makarna pisirmenin en kolay yolu nedir,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
olly yumurtaları ne kadar süre haşlamam gerekiyor,olly yumurtalari ne kadar sure haslamam gerekiyor,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
bulgur pilavı tarifi verir misin,bulgur pilavi tarifi verir misin,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
kaynatmak,kaynatmak,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
sebzeli lazanya ne kadar sürede yapılır,sebzeli lazanya ne kadar surede yapilir,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
nasıl pizza yapabilirim,nasil pizza yapabilirim,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
elmalı turta tarifi ara,elmali turta tarifi ara,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
tarif lütfen,tarif lutfen,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
patates kızartmak için en iyi fırın sıcaklığı ne,patates kizartmak icin en iyi firin sicakligi ne,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
bana bir kızarmış tavuk hazırlama videosu göster,bana bir kizarmis tavuk hazirlama videosu goster,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
bana en iyi spagetti tarifini göster,bana en iyi spagetti tarifini goster,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
yumuşak peynir sert peynirden daha mı iyi,yumusak peynir sert peynirden daha mi iyi,YEMEK_TARIFI_SORUSU,YEMEK_TARIFI_SORUSU,True
yeni bir örnek için tür etiketi üret,yeni bir ornek icin tur etiketi uret,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi yeni kitap kaydını tahmin et lütfen,simdi yeni kitap kaydini tahmin et lutfen,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi kategori tahmini başlat lütfen,simdi kategori tahmini baslat lutfen,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi açıklamayı sınıflandırıcıya ver lütfen,simdi aciklamayi siniflandiriciya ver lutfen,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi açıklamayı sınıflandırıcıya ver,simdi aciklamayi siniflandiriciya ver,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi yeni kitap kaydını tahmin et,simdi yeni kitap kaydini tahmin et,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
yeni bir örnek için yeni kitap kaydını tahmin et,yeni bir ornek icin yeni kitap kaydini tahmin et,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi metnin edebî sınıfını bul lütfen,simdi metnin edeb sinifini bul lutfen,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
yeni bir örnek için açıklamayı sınıflandırıcıya ver,yeni bir ornek icin aciklamayi siniflandiriciya ver,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
şimdi kategori tahmini başlat,simdi kategori tahmini baslat,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
yeni bir örnek için kategori tahmini başlat,yeni bir ornek icin kategori tahmini baslat,YENI_KITAP_SINIFLANDIR,YENI_KITAP_SINIFLANDIR,True
